	title	avg_rating	count_rating	score	genres
811	Braveheart (1995)	4.108870967741935	248	4.023555163582583	Action Drama War
777	Seven (a.k.a. Se7en) (1995)	4.130102040816326	196	4.022310224697037	Mystery Thriller
776	Sixth Sense, The (1999)	4.130890052356021	191	4.020511850268728	Drama Horror Mystery
683	Good Will Hunting (1997)	4.167857142857143	140	4.017760967624517	Drama Romance
523	Departed, The (2006)	4.258620689655173	87	4.017237139803977	Crime Drama Thriller
779	Lord of the Rings: The Fellowship of the Ring, The (2001)	4.126984126984127	189	4.016030652607689	Adventure Fantasy
483	Chinatown (1974)	4.323529411764706	68	4.015382361914466	Crime Film-Noir Mystery Thriller
751	Aliens (1986)	4.146496815286624	157	4.013354723395854	Action Adventure Horror Sci-Fi
744	L.A. Confidential (1997)	4.156934306569343	137	4.005744195420033	Crime Film-Noir Mystery Thriller
510	North by Northwest (1959)	4.273972602739726	73	3.9941893842657694	Action Adventure Mystery Romance Thriller
439	Princess Mononoke (Mononoke-hime) (1997)	4.384615384615385	52	3.992604670883706	Action Adventure Animation Drama Fantasy
656	Inception (2010)	4.189320388349515	103	3.9916449973284793	Action Crime Drama Mystery Sci-Fi Thriller IMAX
778	Léon: The Professional (a.k.a. The Professional) (Léon) (1994)	4.128472222222222	144	3.9877547908760085	Action Crime Drama Thriller
813	Lord of the Rings: The Return of the King, The (2003)	4.108433734939759	166	3.986547432764635	Action Adventure Drama Fantasy
763	Dark Knight, The (2008)	4.141732283464567	127	3.9830957872239825	Action Crime Drama IMAX
524	Life Is Beautiful (La Vita è bella) (1997)	4.2534246575342465	73	3.9788832618167898	Comedy Drama Romance War
833	Lord of the Rings: The Two Towers, The (2002)	4.095808383233533	167	3.976200831552319	Adventure Fantasy
611	Spirited Away (Sen to Chihiro no kamikakushi) (2001)	4.236111111111111	72	3.9632016459592303	Adventure Animation Fantasy
810	Reservoir Dogs (1992)	4.1106870229007635	131	3.9610933311413166	Crime Mystery Thriller
802	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)	4.116	125	3.9595370643869687	Comedy War
665	Psycho (1960)	4.186046511627907	86	3.958833870793202	Crime Horror
868	Indiana Jones and the Last Crusade (1989)	4.07185628742515	167	3.955367498218986	Action Adventure
635	Sting, The (1973)	4.207792207792208	77	3.9552015652749546	Comedy Crime
764	American History X (1998)	4.140776699029126	103	3.952582497328479	Crime Drama
780	Full Metal Jacket (1987)	4.126126126126126	111	3.9516952916032744	Drama War
938	Star Wars: Episode VI - Return of the Jedi (1983)	4.031531531531532	222	3.9450629945669857	Action Adventure Sci-Fi
411	Cinema Paradiso (Nuovo cinema Paradiso) (1989)	4.45945945945946	37	3.9424283815813768	Drama
877	Alien (1979)	4.064102564102564	156	3.941605301978151	Horror Sci-Fi
907	Gladiator (2000)	4.051829268292683	164	3.9361405272912453	Action Adventure Drama
892	Memento (2000)	4.0576923076923075	156	3.936080440099698	Mystery Thriller
931	Saving Private Ryan (1998)	4.037433155080214	187	3.935993205934176	Action Drama War
638	To Kill a Mockingbird (1962)	4.2	70	3.930847996400477	Drama
799	Eternal Sunshine of the Spotless Mind (2004)	4.122448979591836	98	3.9303297533174417	Drama Romance Sci-Fi
636	Annie Hall (1977)	4.205882352941177	68	3.9293608565381226	Comedy Romance
682	Wallace & Gromit: The Wrong Trousers (1993)	4.1688311688311686	77	3.9257898005690723	Animation Children Comedy Crime
841	Wizard of Oz, The (1939)	4.09009009009009	111	3.9222835268973926	Adventure Children Fantasy Musical
863	Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)	4.07563025210084	119	3.9196566642919812	Comedy Romance
772	Graduate, The (1967)	4.132183908045977	87	3.9190228540896905	Comedy Drama Romance
626	Seven Samurai (Shichinin no samurai) (1954)	4.217741935483871	62	3.9187420650350044	Action Adventure Drama
866	Heat (1995)	4.073913043478261	115	3.9137897118431813	Action Crime Thriller
843	Amadeus (1984)	4.087628865979381	97	3.901070161131519	Drama
666	12 Angry Men (1957)	4.182539682539683	63	3.896938177932334	Drama
745	City of God (Cidade de Deus) (2002)	4.156716417910448	67	3.8905495615004932	Action Adventure Crime Drama Thriller
1888	Terminator 2: Judgment Day (1991)	3.960474308300395	253	3.890037984381458	Action Sci-Fi
741	Bridge on the River Kwai, The (1957)	4.159090909090909	66	3.88934680942907	Adventure Drama War
878	Stand by Me (1986)	4.063725490196078	102	3.8892170051814596	Adventure Drama
681	Maltese Falcon, The (1941)	4.169354838709677	62	3.8842593064143145	Film-Noir Mystery
945	Taxi Driver (1976)	4.029661016949152	118	3.8806332843219953	Crime Drama Thriller
1857	Apollo 13 (1995)	3.969543147208122	197	3.880317836297502	Adventure Drama IMAX
816	Boot, Das (Boat, The) (1981)	4.102564102564102	78	3.877966598621799	Action Drama War
1838	Terminator, The (1984)	3.9847560975609757	164	3.877939469090187	Action Sci-Fi Thriller
710	Lawrence of Arabia (1962)	4.166666666666667	60	3.875653643035828	Adventure Drama War
867	Snatch (2000)	4.073863636363637	88	3.875491678389782	Comedy Crime Thriller
962	Being John Malkovich (1999)	4.016129032258065	124	3.875372883611043	Comedy Drama Fantasy
680	Vertigo (1958)	4.169491525423729	59	3.874173329262445	Drama Mystery Romance Thriller
449	On the Waterfront (1954)	4.371428571428571	35	3.873842660967423	Crime Drama
747	Up (2009)	4.153225806451613	62	3.8727650535407516	Adventure Animation Children Drama
951	Apocalypse Now (1979)	4.0265486725663715	113	3.8726852149133717	Action Drama War
930	Batman Begins (2005)	4.03960396039604	101	3.8684965052225824	Action Crime IMAX
1930	Back to the Future (1985)	3.943661971830986	213	3.8631536120085945	Adventure Comedy Sci-Fi
1957	Fugitive, The (1993)	3.930327868852459	244	3.8603366530038863	Thriller
967	Trainspotting (1996)	4.008771929824562	114	3.8592126594103986	Comedy Crime Drama
1933	Twelve Monkeys (a.k.a. 12 Monkeys) (1995)	3.9396135265700485	207	3.8574593088708857	Mystery Sci-Fi Thriller
955	Green Mile, The (1999)	4.024752475247524	101	3.85659174331782	Crime Drama
613	City of Lost Children, The (Cité des enfants perdus, La) (1995)	4.233333333333333	45	3.856150852257791	Adventure Drama Fantasy Mystery Sci-Fi
423	Ran (1985)	4.403225806451613	31	3.8559028510365243	Drama War
739	Wallace & Gromit: A Close Shave (1995)	4.163636363636364	55	3.8553819957255673	Animation Children Comedy
968	Shining, The (1980)	4.004464285714286	112	3.853507734730258	Horror
1896	Groundhog Day (1993)	3.9554140127388533	157	3.848519558560689	Comedy Fantasy Romance
798	Christmas Story, A (1983)	4.122950819672131	61	3.848029763465644	Children Comedy
963	V for Vendetta (2006)	4.01595744680851	94	3.8397526021684483	Action Sci-Fi Thriller IMAX
678	My Fair Lady (1964)	4.17	50	3.839074128773938	Comedy Drama Musical Romance
838	Requiem for a Dream (2000)	4.092307692307692	65	3.838117329533837	Drama
1831	Beautiful Mind, A (2001)	3.9952380952380953	105	3.837927381984964	Drama Romance
2019	Toy Story (1995)	3.9073275862068964	232	3.8363056796032895	Adventure Animation Children Comedy Fantasy
502	Third Man, The (1949)	4.291666666666667	36	3.8349272075089402	Film-Noir Mystery Thriller
1886	Ferris Bueller's Day Off (1986)	3.9609375	128	3.8328794748891855	Comedy
1848	Rain Man (1988)	3.97787610619469	113	3.8328301424496036	Drama
794	Great Escape, The (1963)	4.125	56	3.8324760451610533	Action Adventure Drama War
1889	2001: A Space Odyssey (1968)	3.9603174603174605	126	3.8306659580003006	Adventure Drama Sci-Fi
1849	Kill Bill: Vol. 1 (2003)	3.977272727272727	110	3.8291152567262614	Action Crime Thriller
1855	Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)	3.9732142857142856	112	3.8279602894747837	Action Drama Romance
1845	Big Lebowski, The (1998)	3.981132075471698	106	3.8277141958629417	Comedy Crime
918	Brazil (1985)	4.0479452054794525	73	3.825822037326994	Fantasy Sci-Fi
1846	Clerks (1994)	3.98019801980198	101	3.820877457603535	Comedy
1989	Die Hard (1988)	3.918181818181818	165	3.8206871560949756	Action Crime Thriller
1210	Catch Me If You Can (2002)	4.0	85	3.8130050878004123	Crime Drama
879	Cool Hand Luke (1967)	4.063492063492063	63	3.811710905205061	Drama
960	Run Lola Run (Lola rennt) (1998)	4.019736842105263	76	3.811193659980647	Action Crime
958	True Romance (1993)	4.02	75	3.809305596580453	Crime Thriller
503	Harold and Maude (1971)	4.287878787878788	33	3.809147580311127	Comedy Drama Romance
1839	Dead Man Walking (1995)	3.9833333333333334	90	3.808091823113438	Crime Drama
670	Grand Day Out with Wallace and Gromit, A (1989)	4.178571428571429	42	3.8049337262394833	Adventure Animation Children Comedy Sci-Fi
860	Little Miss Sunshine (2006)	4.078947368421052	57	3.8040312153420164	Adventure Comedy Drama
490	Lives of Others, The (Das leben der Anderen) (2006)	4.306451612903226	31	3.8023314224650964	Drama Romance Thriller
964	Young Frankenstein (1974)	4.013888888888889	72	3.7982531923509835	Comedy Fantasy
720	West Side Story (1961)	4.166666666666667	42	3.797471039672319	Drama Musical Romance
807	Singin' in the Rain (1952)	4.112244897959184	49	3.796358914297911	Comedy Musical Romance
1922	Fish Called Wanda, A (1988)	3.946078431372549	102	3.794728816205082	Comedy Crime
913	Shaun of the Dead (2004)	4.05	60	3.793300701859357	Comedy Horror
1950	Hunt for Red October, The (1990)	3.935185185185185	108	3.792710974872521	Action Adventure Thriller
1884	Kill Bill: Vol. 2 (2004)	3.9615384615384617	91	3.792504824638322	Action Drama Thriller
1917	Donnie Darko (2001)	3.9479166666666665	96	3.7886823112235155	Drama Mystery Sci-Fi Thriller
408	Nausicaä of the Valley of the Wind (Kaze no tani no Naushika) (1984)	4.4772727272727275	22	3.7857565884690505	Adventure Animation Drama Fantasy Sci-Fi
1906	O Brother, Where Art Thou? (2000)	3.9510869565217392	92	3.785731279128593	Adventure Comedy Crime
1921	Dead Poets Society (1989)	3.9468085106382977	94	3.785130753428952	Drama
1834	High Fidelity (2000)	3.986666666666667	75	3.7843055965804537	Comedy Drama Romance
1835	Full Monty, The (1997)	3.9864864864864864	74	3.7821268652327817	Comedy Drama
1836	Lock, Stock & Two Smoking Barrels (1998)	3.9864864864864864	74	3.7821268652327817	Comedy Crime Thriller
484	My Neighbor Totoro (Tonari no Totoro) (1988)	4.321428571428571	28	3.7817086727933082	Animation Children Drama Fantasy
837	Gandhi (1982)	4.09375	48	3.7798706802471966	Drama
416	Dr. Horrible's Sing-Along Blog (2008)	4.434782608695652	23	3.7798033262092785	Comedy Drama Musical Sci-Fi
1958	Sense and Sensibility (1995)	3.93	100	3.779444477264363	Drama Romance
1970	Incredibles, The (2004)	3.926470588235294	102	3.7789807847090184	Action Adventure Animation Children Comedy
1873	Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)	3.962962962962963	81	3.777646789226843	Action Adventure Western
1837	Prestige, The (2006)	3.986111111111111	72	3.777634635649952	Drama Mystery Sci-Fi Thriller
775	Manchurian Candidate, The (1962)	4.130952380952381	42	3.7750829799708265	Crime Thriller War
920	No Country for Old Men (2007)	4.046296296296297	54	3.7712729070638655	Crime Drama
2006	Toy Story 2 (1999)	3.9134615384615383	104	3.7707795322329094	Adventure Animation Children Comedy Fantasy
409	Touch of Evil (1958)	4.476190476190476	21	3.7702295577835945	Crime Film-Noir Thriller
2139	Ghostbusters (a.k.a. Ghost Busters) (1984)	3.8741007194244603	139	3.7678692662075934	Action Comedy Sci-Fi
2021	Shakespeare in Love (1998)	3.9056603773584904	106	3.7666454935728653	Comedy Drama Romance
1974	Office Space (1999)	3.9239130434782608	92	3.764363757761071	Comedy Crime
800	Dark Knight Rises, The (2012)	4.121951219512195	41	3.7640993887582628	Action Adventure Crime IMAX
2053	Bourne Identity, The (2002)	3.893805309734513	113	3.763989562739459	Action Mystery Thriller
2068	Finding Nemo (2003)	3.888888888888889	117	3.763595490549615	Adventure Animation Children Comedy
888	Django Unchained (2012)	4.061224489795919	49	3.7625751305141266	Action Drama Western
975	Close Encounters of the Third Kind (1977)	4.0	61	3.7608204611400624	Adventure Drama Sci-Fi
1871	This Is Spinal Tap (1984)	3.964788732394366	71	3.7596933297713058	Comedy
886	Ben-Hur (1959)	4.0625	48	3.7593227350417173	Action Adventure Drama
435	Intouchables (2011)	4.391304347826087	23	3.758969992875945	Comedy Drama
2149	Clockwork Orange, A (1971)	3.8656716417910446	134	3.7574249035097194	Crime Drama Sci-Fi Thriller
677	Lone Star (1996)	4.171428571428572	35	3.7571759943007565	Drama Mystery Western
2082	Monsters, Inc. (2001)	3.8793103448275863	116	3.7548266642414565	Adventure Animation Children Comedy Fantasy
1956	WALL·E (2008)	3.932098765432099	81	3.754061883566466	Adventure Animation Children Romance Sci-Fi
515	Big Sleep, The (1946)	4.267857142857143	28	3.7534067860008564	Crime Film-Noir Mystery
774	Strictly Ballroom (1992)	4.131578947368421	38	3.7528660263181806	Comedy Romance
1895	Gone with the Wind (1939)	3.9565217391304346	69	3.7492612729579293	Drama Romance War
1858	Inglourious Basterds (2009)	3.9692307692307693	65	3.7492284406449485	Action Drama War
906	Postman, The (Postino, Il) (1994)	4.053191489361702	47	3.7490355508061857	Comedy Drama Romance
831	Some Like It Hot (1959)	4.097560975609756	41	3.748947873606748	Comedy Crime
318	Paths of Glory (1957)	4.5	19	3.7484218104101217	Drama War
825	Manhattan (1979)	4.1	40	3.745085533200698	Comedy Drama Romance
2003	Platoon (1986)	3.9156626506024095	83	3.7447274042411607	Drama War
1988	Sin City (2005)	3.91875	80	3.7421958062670986	Action Crime Film-Noir Mystery Thriller
1887	Sling Blade (1996)	3.9609375	64	3.740792805146577	Drama
752	Toy Story 3 (2010)	4.142857142857143	35	3.74050932763409	Adventure Animation Children Comedy Fantasy IMAX
1841	Children of Men (2006)	3.9827586206896552	58	3.740127224795727	Action Adventure Drama Sci-Fi Thriller
622	Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)	4.224137931034483	29	3.7394548084823223	Drama Film-Noir Romance
942	Hot Fuzz (2007)	4.03125	48	3.7387747898362376	Action Comedy Crime Mystery
1832	Witness (1985)	3.9909090909090907	55	3.736631995725567	Drama Romance Thriller
1948	Slumdog Millionaire (2008)	3.9357142857142855	70	3.7361111542952137	Crime Drama Romance
676	High Noon (1952)	4.171875	32	3.7356238536499182	Drama Western
674	Grand Budapest Hotel, The (2014)	4.171875	32	3.7356238536499182	Comedy Drama
675	Streetcar Named Desire, A (1951)	4.171875	32	3.7356238536499182	Drama
2084	As Good as It Gets (1997)	3.877551020408163	98	3.73520780209793	Comedy Drama Romance
1932	Much Ado About Nothing (1993)	3.9402985074626864	67	3.732940865848319	Comedy Romance
2012	Butch Cassidy and the Sundance Kid (1969)	3.91025641025641	78	3.7323355306606345	Action Western
2070	Gattaca (1997)	3.8876404494382024	89	3.7318470145442575	Drama Sci-Fi Thriller
2315	E.T. the Extra-Terrestrial (1982)	3.8205128205128207	156	3.731660550596936	Children Drama Sci-Fi
2298	Pirates of the Caribbean: The Curse of the Black Pearl (2003)	3.8297872340425534	141	3.7315093955303937	Action Adventure Comedy Fantasy
1865	Dark City (1998)	3.9661016949152543	59	3.731316186405302	Adventure Film-Noir Sci-Fi Thriller
1842	District 9 (2009)	3.981818181818182	55	3.7303819957255673	Mystery Sci-Fi Thriller
1725	Iron Giant, The (1999)	4.0	51	3.7293494691848075	Adventure Animation Children Drama Sci-Fi
1866	Sound of Music, The (1965)	3.9655172413793105	58	3.7280790320246435	Musical Romance
771	Howl's Moving Castle (Hauru no ugoku shiro) (2004)	4.132352941176471	34	3.72763660437365	Adventure Animation Fantasy Romance
1954	28 Days Later (2002)	3.9328358208955225	67	3.7275060832396236	Action Horror Sci-Fi
2208	Truman Show, The (1998)	3.8401639344262297	122	3.7274187731839823	Comedy Drama Sci-Fi
630	Miller's Crossing (1990)	4.214285714285714	28	3.725104899208403	Crime Drama Film-Noir Thriller
1869	African Queen, The (1951)	3.9649122807017543	57	3.7247629226590897	Adventure Comedy Romance War
1870	It's a Wonderful Life (1946)	3.9649122807017543	57	3.7247629226590897	Drama Fantasy Romance
834	Arsenic and Old Lace (1944)	4.094594594594595	37	3.7246864460975058	Comedy Mystery Thriller
590	Treasure of the Sierra Madre, The (1948)	4.25	26	3.7241286207459874	Action Adventure Drama Western
2312	Fifth Element, The (1997)	3.8214285714285716	140	3.7238215736851235	Action Adventure Comedy Sci-Fi
2140	Mr. Holland's Opus (1995)	3.8736263736263736	91	3.7235393073969427	Drama
2055	Iron Man (2008)	3.89375	80	3.723148187219479	Action Adventure Sci-Fi
2054	Casino Royale (2006)	3.89375	80	3.723148187219479	Action Adventure Thriller
885	Moon (2009)	4.0625	40	3.722008610123775	Drama Mystery Sci-Fi Thriller
2073	Almost Famous (2000)	3.8855421686746987	83	3.7215792560930123	Drama
857	Pi (1998)	4.078947368421052	38	3.721119994572148	Drama Sci-Fi Thriller
2198	Jaws (1975)	3.8440366972477062	109	3.7196310422242194	Action Horror
935	Hotel Rwanda (2004)	4.034883720930233	43	3.7195670537947847	Drama War
1914	Pan's Labyrinth (Laberinto del fauno, El) (2006)	3.9491525423728815	59	3.71941142450054	Drama Fantasy Thriller
956	Delicatessen (1991)	4.0227272727272725	44	3.7163849225803673	Comedy Drama Romance
1980	Unforgiven (1992)	3.923076923076923	65	3.715895107311615	Drama Western
2072	Predator (1987)	3.8860759493670884	79	3.715678458250436	Action Sci-Fi Thriller
615	Strangers on a Train (1951)	4.230769230769231	26	3.71432469917736	Crime Drama Film-Noir Thriller
1874	Mary Poppins (1964)	3.962962962962963	54	3.7143108817474095	Children Comedy Fantasy Musical
875	Old Boy (2003)	4.065789473684211	38	3.71318348663564	Mystery Thriller
876	Interstellar (2014)	4.065789473684211	38	3.71318348663564	Sci-Fi IMAX
2188	When Harry Met Sally... (1989)	3.8484848484848486	99	3.7131496746616564	Comedy Romance
2143	Few Good Men, A (1992)	3.8705882352941177	85	3.713005087800412	Crime Drama Thriller
851	Hoop Dreams (1994)	4.083333333333333	36	3.711976387836809	Documentary
2085	Untouchables, The (1987)	3.876543209876543	81	3.7116090533777863	Action Crime Drama
637	All About Eve (1950)	4.203703703703703	27	3.710203070347026	Drama
2027	Traffic (2000)	3.9	70	3.7097953648215296	Crime Drama Thriller
795	Blood Simple (1984)	4.125	32	3.709308064176234	Crime Drama Film-Noir
2202	Blues Brothers, The (1980)	3.8434343434343434	99	3.70911741659714	Action Comedy Musical
609	Once Were Warriors (1994)	4.24	25	3.708611193160907	Crime Drama
1924	Pianist, The (2002)	3.9454545454545453	55	3.705381995725567	Drama War
433	Sweet Hereafter, The (1997)	4.394736842105263	19	3.7029672649555767	Drama
1937	Deer Hunter, The (1978)	3.9375	56	3.7028464155314236	Drama War
581	Amores Perros (Love's a Bitch) (2000)	4.25	24	3.7026644828172524	Drama Thriller
2457	Dances with Wolves (1990)	3.7661691542288556	201	3.7010201754780767	Adventure Drama Western
2308	Crimson Tide (1995)	3.822429906542056	107	3.7002315125609493	Drama Thriller War
2035	M*A*S*H (a.k.a. MASH) (1970)	3.9	65	3.6992284406449483	Comedy Drama War
1947	Big Fish (2003)	3.9363636363636365	55	3.6991319957255673	Drama Fantasy Romance
1946	Searching for Bobby Fischer (1993)	3.9363636363636365	55	3.6991319957255673	Drama
624	All the President's Men (1976)	4.22	25	3.6986111931609074	Drama Thriller
2450	Lion King, The (1994)	3.7709497206703912	179	3.698189017931595	Adventure Animation Children Drama Musical IMAX
1861	Patton (1970)	3.96875	48	3.697678899425279	Drama War
520	Once Upon a Time in the West (C'era una volta il West) (1968)	4.260869565217392	23	3.6964699928759455	Action Drama Western
1847	Remains of the Day, The (1993)	3.9782608695652173	46	3.696205065606273	Drama Romance
2050	Animal House (1978)	3.8984375	64	3.695848984921858	Comedy
1862	Gran Torino (2008)	3.9680851063829787	47	3.69347999525063	Crime Drama
1863	Chocolat (2000)	3.9680851063829787	47	3.69347999525063	Drama Romance
767	Metropolis (1927)	4.137931034482759	29	3.6931585121860255	Drama Sci-Fi
2408	Willy Wonka & the Chocolate Factory (1971)	3.786764705882353	136	3.6921152773791635	Children Comedy Fantasy Musical
966	Hero (Ying xiong) (2002)	4.0125	40	3.691239379354544	Action Adventure Drama
511	Henry V (1989)	4.2727272727272725	22	3.6900119076179863	Action Drama Romance War
512	Professional, The (Le professionnel) (1981)	4.2727272727272725	22	3.6900119076179863	Action Drama Thriller
952	Ghost in the Shell (Kôkaku kidôtai) (1995)	4.026315789473684	38	3.6893739628261164	Animation Sci-Fi
2212	Airplane! (1980)	3.8372093023255816	86	3.688563600522931	Comedy
1107	Insider, The (1999)	4.0	41	3.6883418130006875	Drama Thriller
757	Spartacus (1960)	4.142857142857143	28	3.6873690501517995	Action Drama Romance War
755	Killing Fields, The (1984)	4.142857142857143	28	3.6873690501517995	Drama War
2341	Monty Python's Life of Brian (1979)	3.8106796116504853	103	3.6869574973284793	Comedy
832	Guardians of the Galaxy (2014)	4.096774193548387	31	3.6862599938936675	Action Adventure Sci-Fi
673	Being There (1979)	4.173076923076923	26	3.6849129344714777	Comedy Drama
1864	Bonnie and Clyde (1967)	3.966666666666667	45	3.6847222808292197	Crime Drama
436	Raise the Red Lantern (Da hong deng long gao gao gua) (1991)	4.388888888888889	18	3.6844316199545437	Drama
950	Mystic River (2003)	4.027027027027027	37	3.6843638654523447	Crime Drama Mystery
2190	Raising Arizona (1987)	3.8461538461538463	78	3.683791841340246	Comedy
2150	Bourne Ultimatum, The (2007)	3.8642857142857143	70	3.6834795753478455	Action Crime Thriller
2218	Nightmare Before Christmas, The (1993)	3.8333333333333335	84	3.6828491711747287	Animation Children Fantasy Musical
669	Network (1976)	4.18	25	3.678611193160907	Comedy Drama
1852	Adaptation (2002)	3.9761904761904763	42	3.6780680545976923	Comedy Drama Romance
2471	Shrek (2001)	3.7563291139240507	158	3.6772161729947834	Adventure Animation Children Comedy Fantasy Romance
926	Monty Python's And Now for Something Completely Different (1971)	4.044117647058823	34	3.6767891467465317	Comedy
965	French Connection, The (1971)	4.013513513513513	37	3.676299349323312	Action Crime Thriller
1833	Serenity (2005)	3.9875	40	3.675854763969929	Action Adventure Sci-Fi
1868	Boondock Saints, The (2000)	3.9651162790697674	43	3.6754494067359613	Action Crime Drama Thriller
2141	Election (1999)	3.873015873015873	63	3.675347268841425	Comedy
746	Band of Brothers (2001)	4.153846153846154	26	3.6751090129028503	Action Drama War
1963	Wallace & Gromit: The Best of Aardman Animation (1996)	3.9285714285714284	49	3.674737292676289	Adventure Animation Comedy
450	Who's Afraid of Virginia Woolf? (1966)	4.361111111111111	18	3.672803712977799	Drama
2488	Rock, The (1996)	3.75	160	3.672597619773218	Action Adventure Thriller
519	M (1931)	4.261904761904762	21	3.6724034708270725	Crime Film-Noir Thriller
848	Billy Elliot (2000)	4.083333333333333	30	3.67146472105537	Drama
2172	Exorcist, The (1973)	3.856060606060606	66	3.6695665896488503	Horror Mystery
2171	Avatar (2009)	3.856060606060606	66	3.6695665896488503	Action Adventure Sci-Fi IMAX
620	Manon of the Spring (Manon des sources) (1986)	4.2272727272727275	22	3.6687353118733057	Drama
2392	Lethal Weapon (1987)	3.797872340425532	94	3.6674836946054232	Action Comedy Crime Drama
770	To Catch a Thief (1955)	4.134615384615385	26	3.665305091334223	Crime Mystery Romance Thriller
649	Let the Right One In (Låt den rätte komma in) (2008)	4.195652173913044	23	3.6652199928759455	Drama Fantasy Horror Romance
440	Whiplash (2014)	4.382352941176471	17	3.6650133251915564	Drama
2225	Lost in Translation (2003)	3.8333333333333335	72	3.664232573794282	Comedy Drama Romance
2142	Like Water for Chocolate (Como agua para chocolate) (1992)	3.8706896551724137	58	3.661813971783679	Drama Fantasy Romance
1975	Thing, The (1982)	3.9239130434782608	46	3.660993798000639	Action Horror Sci-Fi Thriller
1973	Monty Python's The Meaning of Life (1983)	3.9239130434782608	46	3.660993798000639	Comedy
1876	Raging Bull (1980)	3.9625	40	3.6604701485853135	Drama
1877	Million Dollar Baby (2004)	3.9625	40	3.6604701485853135	Drama
1878	Player, The (1992)	3.9625	40	3.6604701485853135	Comedy Crime Drama
2194	Jackie Brown (1997)	3.8461538461538463	65	3.6603395517560595	Crime Drama Thriller
842	Secrets & Lies (1996)	4.089285714285714	28	3.659067163359347	Drama
2207	Glory (1989)	3.840909090909091	66	3.6585775786598393	Drama War
1905	Avengers, The (2012)	3.951219512195122	41	3.6580387826976573	Action Adventure Sci-Fi IMAX
2466	Breakfast Club, The (1985)	3.7584745762711864	118	3.656857060545772	Comedy Drama
940	Battle Royale (Batoru rowaiaru) (2000)	4.03125	32	3.656676485228866	Action Drama Horror Thriller
1982	Willow (1988)	3.922222222222222	45	3.656150852257791	Action Adventure Fantasy
672	For a Few Dollars More (Per qualche dollaro in più) (1965)	4.173913043478261	23	3.6548033262092785	Action Drama Thriller Western
671	Rebecca (1940)	4.173913043478261	23	3.6548033262092785	Drama Mystery Romance Thriller
550	Killer, The (Die xue shuang xiong) (1989)	4.25	20	3.6540124368454525	Action Crime Drama Thriller
2318	Snow White and the Seven Dwarfs (1937)	3.8194444444444446	72	3.6539232954437666	Animation Children Drama Fantasy Musical
1907	King's Speech, The (2010)	3.95	40	3.652777840893006	Drama
1985	Love Actually (2003)	3.9204545454545454	44	3.6511675312760192	Comedy Drama Romance
629	Hustler, The (1961)	4.214285714285714	21	3.6506643403922903	Drama
937	Elephant Man, The (1980)	4.032258064516129	31	3.650545708179382	Drama
1934	Breakfast at Tiffany's (1961)	3.9390243902439024	41	3.6504630251218995	Drama Romance
491	Notorious (1946)	4.305555555555555	18	3.649547899024311	Film-Noir Romance Thriller
